round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0912,2.4310,0.00,10246.39
2,0.4443,1.8186,10246.39,20492.78
3,0.6602,1.0650,20492.78,30739.18
4,0.7349,0.8044,30739.18,40985.57
5,0.7685,0.6700,40985.57,51231.96
6,0.7870,0.5982,51231.96,61478.35
7,0.8050,0.5390,61478.35,71724.75
8,0.8117,0.4943,71724.75,81971.14
9,0.8188,0.4616,81971.14,92217.53
10,0.8232,0.4368,92217.53,102463.92
11,0.8313,0.4096,102463.92,112710.32
12,0.8356,0.3807,112710.32,122956.71
13,0.8364,0.3683,122956.71,133203.10
14,0.8433,0.3405,133203.10,143449.49
15,0.8426,0.3291,143449.49,153695.89
16,0.8457,0.3144,153695.89,163942.28
17,0.8480,0.2987,163942.28,174188.67
18,0.8499,0.2830,174188.67,184435.06
19,0.8543,0.2630,184435.06,194681.45
20,0.8560,0.2523,194681.45,204927.85
21,0.8582,0.2372,204927.85,215174.24
22,0.8599,0.2325,215174.24,225420.63
23,0.8591,0.2239,225420.63,235667.02
24,0.8604,0.2156,235667.02,245913.42
25,0.8641,0.1997,245913.42,256159.81
26,0.8647,0.1912,256159.81,266406.20
27,0.8655,0.1902,266406.20,276652.59
28,0.8661,0.1788,276652.59,286898.99
29,0.8666,0.1732,286898.99,297145.38
30,0.8671,0.1725,297145.38,307391.77
31,0.8669,0.1641,307391.77,317638.16
32,0.8692,0.1547,317638.16,327884.56
33,0.8691,0.1520,327884.56,338130.95
34,0.8697,0.1455,338130.95,348377.34
35,0.8689,0.1439,348377.34,358623.73
36,0.8706,0.1418,358623.73,368870.13
37,0.8719,0.1363,368870.13,379116.52
38,0.8700,0.1323,379116.52,389362.91
39,0.8721,0.1222,389362.91,399609.30
40,0.8718,0.1231,399609.30,409855.69
41,0.8701,0.1255,409855.69,420102.09
42,0.8695,0.1242,420102.09,430348.48
43,0.8723,0.1139,430348.48,440594.87
44,0.8705,0.1166,440594.87,450841.26
45,0.8728,0.1101,450841.26,461087.66
46,0.8729,0.1097,461087.66,471334.05
47,0.8738,0.1019,471334.05,481580.44
48,0.8745,0.0987,481580.44,491826.83
49,0.8727,0.1030,491826.83,502073.23
50,0.8735,0.0989,502073.23,512319.62
51,0.8723,0.0996,512319.62,522566.01
52,0.8725,0.0955,522566.01,532812.40
53,0.8753,0.0935,532812.40,543058.80
54,0.8749,0.0924,543058.80,553305.19
55,0.8753,0.0893,553305.19,563551.58
56,0.8756,0.0910,563551.58,573797.97
57,0.8742,0.0866,573797.97,584044.36
58,0.8749,0.0844,584044.36,594290.76
59,0.8739,0.0849,594290.76,604537.15
60,0.8751,0.0821,604537.15,614783.54
61,0.8743,0.0825,614783.54,625029.93
62,0.8752,0.0781,625029.93,635276.33
63,0.8728,0.0807,635276.33,645522.72
64,0.8753,0.0766,645522.72,655769.11
65,0.8760,0.0736,655769.11,666015.50
66,0.8755,0.0758,666015.50,676261.90
67,0.8765,0.0713,676261.90,686508.29
68,0.8743,0.0746,686508.29,696754.68
69,0.8763,0.0697,696754.68,707001.07
70,0.8749,0.0750,707001.07,717247.47
71,0.8757,0.0678,717247.47,727493.86
72,0.8755,0.0689,727493.86,737740.25
73,0.8775,0.0651,737740.25,747986.64
74,0.8772,0.0647,747986.64,758233.03
75,0.8765,0.0643,758233.03,768479.43
76,0.8741,0.0635,768479.43,778725.82
77,0.8769,0.0605,778725.82,788972.21
78,0.8767,0.0605,788972.21,799218.60
79,0.8757,0.0578,799218.60,809465.00
80,0.8773,0.0569,809465.00,819711.39
81,0.8781,0.0574,819711.39,829957.78
82,0.8789,0.0548,829957.78,840204.17
83,0.8768,0.0547,840204.17,850450.57
84,0.8779,0.0533,850450.57,860696.96
85,0.8770,0.0597,860696.96,870943.35
86,0.8786,0.0524,870943.35,881189.74
87,0.8778,0.0507,881189.74,891436.14
88,0.8763,0.0524,891436.14,901682.53
89,0.8762,0.0489,901682.53,911928.92
90,0.8763,0.0540,911928.92,922175.31
91,0.8773,0.0488,922175.31,932421.71
92,0.8769,0.0494,932421.71,942668.10
93,0.8767,0.0531,942668.10,952914.49
94,0.8770,0.0454,952914.49,963160.88
95,0.8759,0.0509,963160.88,973407.27
96,0.8771,0.0468,973407.27,983653.67
97,0.8765,0.0484,983653.67,993900.06
98,0.8761,0.0507,993900.06,1004146.45
99,0.8765,0.0472,1004146.45,1014392.84
100,0.8783,0.0425,1014392.84,1024639.24
101,0.8778,0.0452,1024639.24,1034885.63
