round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0952,2.4316,0.00,10246.39
2,0.5513,1.6647,10246.39,20492.78
3,0.7012,0.9142,20492.78,30739.18
4,0.7702,0.6936,30739.18,40985.57
5,0.7944,0.5877,40985.57,51231.96
6,0.8094,0.5285,51231.96,61478.35
7,0.8257,0.4741,61478.35,71724.75
8,0.8296,0.4437,71724.75,81971.14
9,0.8327,0.4193,81971.14,92217.53
10,0.8425,0.3815,92217.53,102463.92
11,0.8458,0.3637,102463.92,112710.32
12,0.8499,0.3407,112710.32,122956.71
13,0.8549,0.3212,122956.71,133203.10
14,0.8567,0.3023,133203.10,143449.49
15,0.8609,0.2805,143449.49,153695.89
16,0.8638,0.2664,153695.89,163942.28
17,0.8643,0.2565,163942.28,174188.67
18,0.8678,0.2427,174188.67,184435.06
19,0.8706,0.2267,184435.06,194681.45
20,0.8725,0.2139,194681.45,204927.85
21,0.8728,0.2055,204927.85,215174.24
22,0.8729,0.1919,215174.24,225420.63
23,0.8739,0.1817,225420.63,235667.02
24,0.8734,0.1775,235667.02,245913.42
25,0.8791,0.1607,245913.42,256159.81
26,0.8762,0.1589,256159.81,266406.20
27,0.8798,0.1420,266406.20,276652.59
28,0.8789,0.1390,276652.59,286898.99
29,0.8785,0.1343,286898.99,297145.38
30,0.8821,0.1231,297145.38,307391.77
31,0.8820,0.1159,307391.77,317638.16
32,0.8815,0.1137,317638.16,327884.56
33,0.8822,0.1032,327884.56,338130.95
34,0.8831,0.0985,338130.95,348377.34
35,0.8837,0.0943,348377.34,358623.73
36,0.8849,0.0906,358623.73,368870.13
37,0.8855,0.0819,368870.13,379116.52
38,0.8853,0.0803,379116.52,389362.91
39,0.8869,0.0748,389362.91,399609.30
40,0.8860,0.0713,399609.30,409855.69
41,0.8863,0.0685,409855.69,420102.09
42,0.8863,0.0632,420102.09,430348.48
43,0.8879,0.0600,430348.48,440594.87
44,0.8866,0.0598,440594.87,450841.26
45,0.8884,0.0544,450841.26,461087.66
46,0.8866,0.0551,461087.66,471334.05
47,0.8863,0.0555,471334.05,481580.44
48,0.8875,0.0482,481580.44,491826.83
49,0.8881,0.0473,491826.83,502073.23
50,0.8876,0.0466,502073.23,512319.62
51,0.8872,0.0423,512319.62,522566.01
52,0.8863,0.0425,522566.01,532812.40
53,0.8876,0.0401,532812.40,543058.80
54,0.8880,0.0385,543058.80,553305.19
55,0.8879,0.0392,553305.19,563551.58
56,0.8887,0.0379,563551.58,573797.97
57,0.8896,0.0350,573797.97,584044.36
58,0.8882,0.0349,584044.36,594290.76
59,0.8887,0.0342,594290.76,604537.15
60,0.8867,0.0344,604537.15,614783.54
61,0.8873,0.0360,614783.54,625029.93
62,0.8889,0.0308,625029.93,635276.33
63,0.8905,0.0287,635276.33,645522.72
64,0.8888,0.0288,645522.72,655769.11
65,0.8897,0.0278,655769.11,666015.50
66,0.8911,0.0255,666015.50,676261.90
67,0.8894,0.0258,676261.90,686508.29
68,0.8899,0.0233,686508.29,696754.68
69,0.8895,0.0244,696754.68,707001.07
70,0.8900,0.0233,707001.07,717247.47
71,0.8901,0.0241,717247.47,727493.86
72,0.8885,0.0252,727493.86,737740.25
73,0.8901,0.0235,737740.25,747986.64
74,0.8895,0.0222,747986.64,758233.03
75,0.8901,0.0206,758233.03,768479.43
76,0.8900,0.0222,768479.43,778725.82
77,0.8909,0.0188,778725.82,788972.21
78,0.8911,0.0189,788972.21,799218.60
79,0.8909,0.0186,799218.60,809465.00
80,0.8900,0.0206,809465.00,819711.39
81,0.8891,0.0198,819711.39,829957.78
82,0.8918,0.0176,829957.78,840204.17
83,0.8915,0.0176,840204.17,850450.57
84,0.8910,0.0162,850450.57,860696.96
85,0.8915,0.0156,860696.96,870943.35
86,0.8923,0.0144,870943.35,881189.74
87,0.8919,0.0145,881189.74,891436.14
88,0.8917,0.0149,891436.14,901682.53
89,0.8910,0.0143,901682.53,911928.92
90,0.8908,0.0137,911928.92,922175.31
91,0.8911,0.0143,922175.31,932421.71
92,0.8917,0.0133,932421.71,942668.10
93,0.8917,0.0121,942668.10,952914.49
94,0.8905,0.0128,952914.49,963160.88
95,0.8914,0.0117,963160.88,973407.27
96,0.8916,0.0120,973407.27,983653.67
97,0.8913,0.0105,983653.67,993900.06
98,0.8909,0.0103,993900.06,1004146.45
99,0.8905,0.0101,1004146.45,1014392.84
100,0.8904,0.0118,1014392.84,1024639.24
101,0.8910,0.0093,1024639.24,1034885.63
