round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0943,2.4299,0.00,10246.39
2,0.2217,2.1768,10246.39,20492.78
3,0.3468,1.8870,20492.78,30739.18
4,0.4471,1.5936,30739.18,40985.57
5,0.5103,1.3542,40985.57,51231.96
6,0.5606,1.1974,51231.96,61478.35
7,0.5972,1.0757,61478.35,71724.75
8,0.6265,0.9824,71724.75,81971.14
9,0.6645,0.8962,81971.14,92217.53
10,0.6850,0.8399,92217.53,102463.92
11,0.7000,0.8034,102463.92,112710.32
12,0.7280,0.7463,112710.32,122956.71
13,0.7349,0.7158,122956.71,133203.10
14,0.7454,0.6916,133203.10,143449.49
15,0.7446,0.6755,143449.49,153695.89
16,0.7551,0.6442,153695.89,163942.28
17,0.7695,0.6080,163942.28,174188.67
18,0.7663,0.6049,174188.67,184435.06
19,0.7801,0.5702,184435.06,194681.45
20,0.7767,0.5654,194681.45,204927.85
21,0.7772,0.5693,204927.85,215174.24
22,0.7890,0.5368,215174.24,225420.63
23,0.7858,0.5368,225420.63,235667.02
24,0.7890,0.5266,235667.02,245913.42
25,0.7928,0.5123,245913.42,256159.81
26,0.7955,0.5048,256159.81,266406.20
27,0.8003,0.4936,266406.20,276652.59
28,0.7994,0.4900,276652.59,286898.99
29,0.7960,0.4942,286898.99,297145.38
30,0.8057,0.4707,297145.38,307391.77
31,0.8017,0.4811,307391.77,317638.16
32,0.8049,0.4684,317638.16,327884.56
33,0.8059,0.4637,327884.56,338130.95
34,0.8074,0.4601,338130.95,348377.34
35,0.8071,0.4609,348377.34,358623.73
36,0.8103,0.4466,358623.73,368870.13
37,0.8082,0.4537,368870.13,379116.52
38,0.8093,0.4530,379116.52,389362.91
39,0.8131,0.4339,389362.91,399609.30
40,0.8150,0.4239,399609.30,409855.69
41,0.8141,0.4289,409855.69,420102.09
42,0.8131,0.4308,420102.09,430348.48
43,0.8152,0.4199,430348.48,440594.87
44,0.8118,0.4327,440594.87,450841.26
45,0.8168,0.4192,450841.26,461087.66
46,0.8172,0.4149,461087.66,471334.05
47,0.8202,0.4081,471334.05,481580.44
48,0.8201,0.4064,481580.44,491826.83
49,0.8198,0.4077,491826.83,502073.23
50,0.8163,0.4233,502073.23,512319.62
51,0.8206,0.4019,512319.62,522566.01
52,0.8203,0.3993,522566.01,532812.40
53,0.8214,0.3927,532812.40,543058.80
54,0.8175,0.3993,543058.80,553305.19
55,0.8226,0.3954,553305.19,563551.58
56,0.8193,0.3938,563551.58,573797.97
57,0.8223,0.3821,573797.97,584044.36
58,0.8267,0.3657,584044.36,594290.76
59,0.8257,0.3679,594290.76,604537.15
60,0.8237,0.3769,604537.15,614783.54
61,0.8213,0.3792,614783.54,625029.93
62,0.8241,0.3692,625029.93,635276.33
63,0.8218,0.3751,635276.33,645522.72
64,0.8241,0.3708,645522.72,655769.11
65,0.8280,0.3591,655769.11,666015.50
66,0.8263,0.3599,666015.50,676261.90
67,0.8277,0.3582,676261.90,686508.29
68,0.8303,0.3462,686508.29,696754.68
69,0.8303,0.3541,696754.68,707001.07
70,0.8277,0.3572,707001.07,717247.47
71,0.8281,0.3589,717247.47,727493.86
72,0.8293,0.3507,727493.86,737740.25
73,0.8277,0.3571,737740.25,747986.64
74,0.8312,0.3485,747986.64,758233.03
75,0.8344,0.3356,758233.03,768479.43
76,0.8339,0.3323,768479.43,778725.82
77,0.8302,0.3479,778725.82,788972.21
78,0.8260,0.3605,788972.21,799218.60
79,0.8298,0.3409,799218.60,809465.00
80,0.8327,0.3348,809465.00,819711.39
81,0.8321,0.3315,819711.39,829957.78
82,0.8295,0.3381,829957.78,840204.17
83,0.8335,0.3298,840204.17,850450.57
84,0.8324,0.3361,850450.57,860696.96
85,0.8329,0.3306,860696.96,870943.35
86,0.8328,0.3346,870943.35,881189.74
87,0.8309,0.3344,881189.74,891436.14
88,0.8327,0.3309,891436.14,901682.53
89,0.8367,0.3065,901682.53,911928.92
90,0.8343,0.3213,911928.92,922175.31
91,0.8335,0.3269,922175.31,932421.71
92,0.8349,0.3189,932421.71,942668.10
93,0.8373,0.3066,942668.10,952914.49
94,0.8349,0.3143,952914.49,963160.88
95,0.8404,0.2946,963160.88,973407.27
96,0.8355,0.3161,973407.27,983653.67
97,0.8349,0.3138,983653.67,993900.06
98,0.8382,0.3085,993900.06,1004146.45
99,0.8365,0.3097,1004146.45,1014392.84
100,0.8357,0.3058,1014392.84,1024639.24
101,0.8349,0.3068,1024639.24,1034885.63
